sp,fs
Blutaparon_vermiculare,1
Gomphrena_agrestis,1
Gomphrena_bicolor,1
Gomphrena_boliviana,1
Gomphrena_brachystylis,1
Gomphrena_canescens,1
Gomphrena_cardenasii,1
Gomphrena_celosioides,1
Gomphrena_cladotrichoides,1
Gomphrena_ferruginea,1
Gomphrena_flaccida,1
Gomphrena_fuscipellita,1
Gomphrena_globosa,1
Gomphrena_graminea,1
Gomphrena_haageana,1
Gomphrena_haenkeana,1
Gomphrena_lanigera,1
Gomphrena_macrocephala,1
Gomphrena_martiana,1
Gomphrena_mendocina,1
Gomphrena_meyeniana,1
Gomphrena_mizqueensis,1
Gomphrena_mollis,0
Gomphrena_nitida,1
Gomphrena_oligocephala,1
Gomphrena_pallida,1
Gomphrena_perennis,1
Gomphrena_phaeotricha,1
Gomphrena_potosiana,1
Gomphrena_prostrata,1
Gomphrena_pulchella,1
Gomphrena_pumila,1
Gomphrena_radiata,1
Gomphrena_rupestris,0
Gomphrena_tomentosa,1
Gomphrena_trollii,1
Gomphrena_umbellata,1
Gossypianthus_brittonii,1
Gossypianthus_lanuginosus,1
Guilleminea_densa,1
Guilleminea_gracilis,1
Lithophila_muscoides,1
