sp,habito
Blutaparon_vermiculare,1
Gomphrena_agrestis,1
Gomphrena_bicolor,1
Gomphrena_boliviana,0
Gomphrena_brachystylis,0
Gomphrena_canescens,0
Gomphrena_cardenasii,1
Gomphrena_celosioides,1
Gomphrena_cladotrichoides,0
Gomphrena_ferruginea,0
Gomphrena_flaccida,0
Gomphrena_fuscipellita,1
Gomphrena_globosa,0
Gomphrena_graminea,1
Gomphrena_haageana,1
Gomphrena_haenkeana,0
Gomphrena_lanigera,1
Gomphrena_macrocephala,1
Gomphrena_martiana,0
Gomphrena_mendocina,0
Gomphrena_meyeniana,1
Gomphrena_mizqueensis,0
Gomphrena_mollis,1
Gomphrena_nitida,0
Gomphrena_oligocephala,1
Gomphrena_pallida,0
Gomphrena_perennis,1
Gomphrena_phaeotricha,0
Gomphrena_potosiana,1
Gomphrena_prostrata,1
Gomphrena_pulchella,1
Gomphrena_pumila,1
Gomphrena_radiata,0
Gomphrena_rupestris,1
Gomphrena_tomentosa,1
Gomphrena_trollii,1
Gomphrena_umbellata,0
Gossypianthus_brittonii,1
Gossypianthus_lanuginosus,1
Guilleminea_densa,1
Guilleminea_gracilis,1
Lithophila_muscoides,1
